BENIDORM CHESS OPEN B Sub-2000;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;
;;;;;;
Ranking inicial   ;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Info
1;;Aguado Crespo, Antonio;ESP;1971;22275290;CV
2;;Lloret Climent, Miguel;ESP;1954;2206439;CV
3;;Perez Garcia, Jose Miguel;ESP;1950;2227657;CVH
4;;Hassomal Daswani, Birjkumar;ESP;1945;2224356;CVH
5;;Navarro Rico, Lluis;ESP;1937;32045913;CV
6;;Robledo Sanchez, Saul;ESP;1926;24554650;CV
7;;Bote Kobolo, Benjamin E.;ESP;1923;2289440;H
8;;Camison Zornoza, Cesar;ESP;1923;24580376;CVH
9;;Oreshkin, Vladislav;ESP;1920;54535603;CV
10;;Machin Arbelo, Pedro Alexis;ESP;1918;2260972;H
11;;Perez Garcia, Juan Angel;ESP;1918;2211262;H
12;;Zamora Soler, Raul;ESP;1918;2273225;CV
13;;Vallbona Domingo, Joan;ESP;1915;2291487;H
14;;Ruiz Ureta, Ernesto;ESP;1911;22229833;H
15;;Hushpit, Lukian ..;IRL;1910;14189208;
16;;Stolp, Aleksander;NOR;1888;1541501;H
17;;Reig Albero, Ferran;ESP;1884;2207516;CVH
18;;Cafolla, Peter;IRL;1881;2500884;H
19;;Hall, Rachid;ESP;1875;22224327;H
20;;Nguyen, Khoi;BEL;1875;272540;H
21;;Rodriguez Lopez, Ruben;ESP;1874;2298295;
22;;Selva Salvador, Antonio;ESP;1871;2223821;CVH
23;;Viciano Barrachina, Aitor;ESP;1865;2246872;CVH
24;;Salter, David;IRL;1855;2501988;H
25;;Blasco Marques, Salvador;ESP;1852;2208644;CVH
26;;Roca Cruz, Rafael;ESP;1845;32022450;CVH
27;;Fernandez Lopez, Francisco J.;ESP;1835;2212323;CV
28;;Gimeno Simo, Sergio ..;ESP;1834;22293965;CVH
29;;Codina Garcia, Jose;ESP;1832;2206340;H
30;;Fernandez Perez, Josep;ESP;1831;32023910;H
31;;Williams, Duncan;WLS;1831;1805592;H
32;;Rios Garcia, Miguel;ESP;1829;2219000;CVH
33;;Rodriguez Perez, Mauro;ESP;1829;2256371;H
34;;Turner, Justin;AUS;1815;3225593;CVH
35;;Munoz Osete, Marcos;ESP;1808;54542987;CV
36;;Dawson, Alastair;SCO;1804;412651;H
37;;Lopez de Turiso Sanchez, Jose An;ESP;1801;2207680;
38;;Strand, Amund Pihl;NOR;1800;1542184;H
39;;Fuentes Arjona, Antonio;ESP;1797;2280329;H
40;;Wernberg, Nikolai Olsen;NOR;1782;1542770;H
41;;Guillen Montiel, Jose Luis;ESP;1746;2282097;CV
42;;Kane, Robert;ENG;1736;420468;H
43;;Viudes Serra, Aaron;ESP;1732;2247658;CV
44;;Martinez Martin, Francisco;ESP;1714;24581208;CV
45;;Lien, Sebastian;NOR;1706;1567888;H
46;;Gerona Maura, Jesus;ESP;1705;2271303;CVH
47;;Nordgreen, Jan Thomas;ESP;1705;24516260;H
48;;Pedraza Fernandez, Miguel Angel;ESP;1702;2275376;CV
49;;Torres Rebolledo, Marcos ..;ESP;1700;24594423;H
50;;Nieto Lopez, Francisco Ramon;ESP;1688;2277646;H
51;;Rodriguez Moya, David;ESP;1680;2224224;CV
52;;Vicente Soriano, Josep;ESP;1668;2270978;H
53;;Espejo Montagut, Jose Maria;ESP;1651;2281619;H
54;;Minguela Munoz, Bienvenido;ESP;1651;2282143;H
55;;Alberti, Milo;SUI;1633;134105363;H
56;;Martinez Zazo, Jesus;ESP;1631;2237695;H
57;;Oliva, Andrea;ITA;1626;836800;CV
58;;Planelles Ortega, Emilio;ESP;1626;2237750;CV
59;;Winter, Kevin;ENG;1621;421960;H
60;;Nechifor, David;ESP;1608;54788455;CV
61;;Garcia Yepes, Miguel Angel;ESP;1601;32015046;CV
62;;Del Riego Sanchez, Rafael;BEL;1598;278114;H
63;;Medina Sanchez, Gines;ESP;1581;2279100;H
64;;Garcia Santiago, Juan Carlos;ESP;1577;54744296;H
65;;Lines, David;ESP;1573;24553581;CV
66;;Zhu, Pengxiao;ENG;1571;499307;H
67;;Quesada Gomez, Norman;ESP;1566;22277242;
68;;Vegara Gallego, Pere;ESP;1566;2271770;H
69;;Voronaya, Eva;FID;1565;34254978;H
70;;Ilinca Ilinca, Filip Antonio;ESP;1553;54775167;CVH
71;;Rehbein, Vitus;GER;1553;16273427;H
72;;Vidal Moscardo, Blas;ESP;1546;2287005;CVH
73;;Enriquez Munoz, Diego;ESP;1543;2298570;H
74;;Gutierrez Bolado, Juan Antonio;ESP;1539;2298708;H
75;;Valenzuela Garcia, Alberto;ESP;1539;2245213;CVH
76;;Marin Giner, Gustavo;ESP;1496;54745411;CV
77;;Verhoeven, Rudiger;ESP;1481;24563013;H
78;;Arcas Rodriguez, Jordi;ESP;1467;32010508;H
79;;Ruiz Garcia, Jose Luis II ..;ESP;1462;32083653;CV
80;;Benitez Cadenas, Luis Miguel;ESP;1450;2284340;CV
81;;Nardi, Hector;ARG;1433;131318;CVH
82;;Yanston, Kseniia;ESP;1419;55634184;CV
83;;Embuena Molina, Miguel Angel;ESP;1415;54745128;CVH
84;;Shi, Shaoquan;ENG;1404;499285;H
85;;Munoz Gonzalez, Martin;ESP;1403;22209115;H
86;;Richter, Anastasia;GER;1396;34659099;
87;;Gonzalez Caceres, Lauren;ESP;1391;54718228;CV
88;;Shi, Shaoting ..;ENG;1386;343406653;H
89;;Henning Lubberding, Hans;IRL;1376;2518066;
90;;Algaze Obadia, Rodrigue;FRA;1375;651013703;CV
91;;Nguyen, Tri Khoi;BEL;1374;277460;H
92;;Morata Perez, Jose;ESP;1364;24521612;H
93;;Hidalgo Mena, Manel;ESP;1355;54786533;CV
94;;Kristiansen, David;NOR;1344;1572083;H
95;;Navarro Juan, Isaac;ESP;1321;54785057;CVH
96;;Bukharkov, Stepan  ..;FID;1312;34346643;
97;;Cervera Diaz, Aaron;ESP;1300;54590930;CV
98;;Carrascosa Grau, Eduard;ESP;1265;94715858;CVH
99;;Mulet Salva, Jeroni;ESP;1260;94714606;CV
100;;Krisha Tamhant Jain;IND;1248;33380252;H
101;;Ferrero Martinez, Daniel;ESP;1240;94786348;CV
102;;Alarcon Alarcon, Marina;ESP;1193;32010516;H
103;;Mabras Lloret, Monserrat;ESP;1191;32018347;CV
104;;Mena Lena, Antonio;ESP;1191;32010583;H
105;;Ulla Centelles, Llorens;ESP;1162;24541087;CVH
106;;Larsson, Susanne Wiggen;NOR;1159;1553488;H
107;;Munoz Martinez, Francisco;ESP;1115;24594482;CV
108;;Galletero Monsalve, Juan Francis;ESP;1080;22281398;H
109;;Razhnou, Lev;FID;1026;13530119;H
110;;Fossaas, Oskar Erland;NOR;0;1584049;H
111;;Guio Del Rio, José Antonio;ESP;0;94797480;CV
112;;Razhnova, Aryna;FID;0;13534831;H
113;;Risueno Banuls, Manuel;ESP;0;523003561;CV
114;;Villar Ramos-Izquierdo, Maria Do;ESP;0;94759162;CVH
